#关注#【李娜 vs.小威，你期待吗？】今日凌晨，中国一姐李娜击败马卡洛娃，首次闯入美国网球公开赛四强。半决赛她将迎战卫冕冠军、赛会头号种子美国名将小威廉姆斯。李娜，加油！http://t.cn/z8I2rF0 
【中国队0：3不敌巴西队 获女排大奖赛亚军】在刚刚结束的世界女排大奖赛中，中国队输给伦敦奥运会冠军巴西队，四胜一负积10分，获得亚军。希望在郎平的带领下，年轻的中国女排总结经验，取得更好的成绩。中国女排，加油！
【全运会产生开幕以来第一金】据新华社，在刚刚结束的第十二届全运会男子10米气手枪团体赛中，山西队以1730环总成绩夺得冠军，这也是本届赛会开幕以来产生的第一金。[鼓掌]
【49名外籍裁判执法全运 篮球赛无&quot;洋哨&quot;】昨天，国家体育总局副局长肖天表示，本届全运会将聘请49名外籍裁判。篮协却对外宣布，篮球赛事不设外籍裁判，全由本土裁判执法。这令人颇感意外：无论CBA或往届全运会，篮球场上的&quot;洋哨&quot;已成常事，也与首次聘请8名&quot;洋哨&quot;的足协对比强烈。http://t.cn/z85CeP5
【世界女排大奖赛决赛 中国VS巴西争冠决战正在进行】在之前的比赛中，郎平率领年轻的中国女排已取得四连胜的好成绩。昨天面对东道主日本队，更是顽强地以3:2击败对手。目前，积分榜上中国队落后巴西队2分，本场比赛须以3:0或3:1击败巴西队才能夺冠。女排姑娘们，加油！[good]直播:http://t.cn/zWKyv6k
【今日看点：第十二届全运会第一个比赛日】姚明、林丹、郭晶晶、孙杨、刘翔……四年一个轮回，全运会是很多中国体育明星的起点。今天，第十二届全运会将在跳水、射击、跆拳道等七个项目上产生18枚金牌。让我们一起为运动员们加油，期待更多未来之星从这里升起！[good]
【李娜:为美网八强而战】李娜将迎来本届美网夜场首秀，对阵老对手扬科维奇，二人交锋7次，4胜3负娜姐占优，本场比赛对李娜在美网后的世界排名至关重要。随着主要竞争对手沃兹尼亚奇出局，这场对决堪称世界第五的争夺战。但愿李娜的比赛不要受当地天气的影响。一起为娜姐加油！@CCTV5 正在直播
【孙杨全运会将冲7金】昨天，孙杨随浙江游泳队抵达沈阳。本届全运会，他将参加7个项目的角逐：100米、200米、400米、1500米4个自由泳单项，及4×100米自由泳、4×200米自由泳、4×200米混合泳3个接力项目，其中100米自由泳是首次在正式大赛中试水。 孙杨表示：一切都好，赛场见！http://t.cn/z8ctqgq
【李娜横扫扬科维奇 时隔4年再闯美网8强】美网第七日压轴大战，李娜与2008年亚军扬科维奇上演巅峰对决。李娜在比赛中一度打出连赢15球的得分狂潮，最终以6-3/6-0横扫对手。恭喜李娜！请看李娜的赛后采访视频：http://t.cn/z8czSyv
【足协：傅博今年续任国足代理主教练】中国足协今天发表声明称，决定由傅博继续担任男足国家队代理主教练，率队完成今年的热身赛和亚洲杯预选赛等任务，而此后的选帅方案仍会适时发布信息并启动。傅博在东亚杯赛上以“救火队员”角色率队取得不错战绩。http://t.cn/z8c7cpB
【前NBA球星罗德曼今日再访朝鲜】罗德曼此行将在朝鲜停留5天，主要行程包括指导篮球训练，与朝鲜运动员交流，观看女足比赛和大型团体操《阿里郎》，并前往金刚山地区观光。与2月访朝相比，罗德曼此次受到了贵宾待遇，从停机坪直接乘坐礼宾车离开，记者未被允许进入停机坪拍摄。（央视记者赵曙光）
